"segment","mean_speed","mean_step","mean_turning","median_speed","median_turning","n","behavior"
1,5.66963295198224,340.177977118935,0.0946790227627638,5.33354712027785,0,50,"resting"
2,0.243815206611966,234.062598347487,0.701817589215845,0,0.750906541492214,3,"unknown"
3,4.67904250935862,280.742550561517,0.295346451900249,6.08717411172666,0.12585747247598,8,"unknown"
4,0.00522356164393432,1.5670684931803,1.00009927179228,0,0.0324881609919687,6,"resting"
5,8.95779056063137,537.467433637882,0.0598943695729805,8.95779056063137,0,5,"feeding"
6,0.528743142762394,159.570079542863,0.466922949076181,0.404015201648421,0,160,"resting"
7,1.93430212427074,232.116254912489,0.389492012197081,1.50368395942845,0.0307468554760774,42,"resting"
8,5.59774082091842,671.728898510211,0.274192331941556,6.68754776066434,0,7,"resting"
9,0.410745178983659,60.7634696353833,0.717098400970579,0.0255481627582026,0.0347444267984205,24,"resting"
10,3.39400924418829,610.921663953892,0.0497985815470161,3.54986241192461,0.00644418078874587,79,"resting"
11,0.230776219647821,190.702123691584,0.285444502111435,0,0.0594338479966438,6,"resting"
12,8.70978027969952,522.586816781971,0.469908976596829,8.77191511875474,0.0219960238161588,60,"feeding"
13,0,0,0.0196238150032369,0,0,6,"resting"
14,10.7333249501404,643.999497008423,0.282062125239013,11.0490088920152,0.0398845501860013,22,"feeding"
15,5.2140234884702,614.688269669182,0.114958655894474,5.30762840188515,0.00673834171864618,78,"resting"
16,0.139950997563585,89.919201839397,0.608563212648529,0,0.293338319264518,14,"unknown"
17,2.77408144104126,499.334659387427,0.141803763435783,2.62686818899988,0,71,"resting"
18,5.19265299471538,467.064426054608,0.589692811515109,4.40598198053106,0.280447102239198,17,"unknown"
19,8.57667060265642,514.600236159386,0.19977001165437,8.00923439677493,0.0253835668059043,45,"feeding"
20,0,0,0.618742696959885,0,0.618742696959885,1,"unknown"
21,9.10466862476909,546.280117486146,0.252015703730904,9.4588299910439,0,12,"feeding"
